timestamp,timestamp_iso,requirement_norm,accom_type_norm,gender_norm,food_pref_norm,furnished_bool,red_eye_bool,area_norm,move_in_date,move_in_date_iso,rent_amount,rent_amount_num,lease_duration,lease_duration_months,utilities_included_bool,bathroom_type_norm,distance_to_campus_miles,people_count_num,description_summary,contact,heat_available_bool,water_available_bool,laundry_available_bool,other_details
4/20/24 8:15 AM,2024-04-20,offering,shared,female,veg,True,False,roxbury,May 15,2025-05-15,550,550,12 months,12,False,shared,1.2,2,Cozy room in quiet apartment near T station,meera.shah@gmail.com,True,True,,Pet friendly
4/20/24 9:23 AM,2024-04-20,looking,2 bed,mixed,,,True,fenway,June 1,2025-06-01,$850,850,flexible,,True,private,0.5,3,Need spacious place close to campus,+1 857-234-5678,,True,True,Parking spot included
4/20/24 10:45 AM,2024-04-20,offering,private,male,non-veg,True,,mission hill,available now,,710,710,6 months,6,True,shared,0.8,1,Private room with large windows and desk space,raj.patel@northeastern.edu,True,True,,near bus stop
4/20/24 11:30 AM,2024-04-20,offering,3 bed,,vegetarian,False,False,brookline,May 20,2025-05-20,650,650,,,,1.5 miles,4.0,3,8573829471,yes,True,,,
4/20/24 1:15 PM,2024-04-20,looking,studio,female,,,True,cambridge,ASAP,,1000,1000,12 months,12,True,private,3.2,,Clean studio with natural light preferred,ananya.desai@gmail.com,True,True,,Quiet building
4/20/24 2:40 PM,2024-04-20,offering,4 bed,male,non-veg,,,roxbury,June 15,2025-06-15,450,450,9 months,9,False,shared,1.1,5,Room available in 4BR student house,+19174562890,True,True,,24/7 security
4/20/24 3:55 PM,2024-04-20,offering,shared,female,veg,True,False,allston,move in: may 1,2025-05-01,500,500,,,,shared,2.0,2,Shared room with another female student,priya_boston@yahoo.com,True,True,,WiFi included
4/20/24 5:20 PM,2024-04-20,looking,1 bed,any,no preference,True,,back bay,mid May,2025-05-27,$1200,1200,12 months,12,True,private,1.0,1,Looking for modern 1BR in luxury building,contact: 857-392-4756,True,True,,Gym access
4/20/24 6:10 PM,2024-04-20,offering,2bhk,mixed,,,True,fenway,early June,2025-06-27,575,575,6 months,6,,shared,0.6,3,2 bedroom apartment near Fenway Park,vishnu.iyer@gmail.com,True,True,,near T station
4/20/24 7:45 PM,2024-04-20,offering,private,male,non-veg,True,False,longwood,available now,,710,710,flexible,,False,private,0.3,1,Private room in medical area perfect for students,(857) 445-3421,True,True,,Close to hospitals
4/20/24 8:30 PM,2024-04-20,looking,shared,female,veg,,,brookline,,,550,550,12 months,12,True,shared,1.8,2,Vegetarian household preferred,neha_2024@northeastern.edu,True,True,True,No smoking
4/20/24 9:15 PM,2024-04-20,offering,3bhk,male,,True,False,jamaica plain,June 1,2025-06-01,750,750,12 months,12,False,2 bathroom,2.5,4,Large 3BHK with parking space available,857.392.8472,True,True,,hardwood floors
4/21/24 7:30 AM,2024-04-21,offering,4 bed,,non-veg,False,,roxbury,May 20,2025-05-20,400,400,,,,1.3 miles,5.0,,karthik_boston@hotmail.com,yes,True,,,
4/21/24 8:45 AM,2024-04-21,looking,studio,female,veg,True,True,cambridge,flexible,,950,950,6 months,6,True,private,3.0,,Studio near Harvard Square,+1-617-234-9087,True,True,True,Prefer quiet
4/21/24 10:10 AM,2024-04-21,offering,shared,mixed,,,False,mission hill,ASAP,,460,460,9 months,9,,shared,0.7,3,Shared room available immediately,aditya.sharma23@gmail.com,True,True,,utilities split
4/21/24 11:25 AM,2024-04-21,offering,2 bed,female,vegetarian,,,fenway,May 15,2025-05-15,$570,570,12 months,12,False,shared,0.5,2,Furnished 2BR perfect for grad students,contact me: sneha.rao@yahoo.com,True,True,,Female only
4/21/24 12:40 PM,2024-04-21,looking,private,male,non-veg,True,False,allston,June 1,2025-06-01,650,650,flexible,,True,private,2.1,1,Private room with private bath,8573345667,True,True,,Parking needed
4/21/24 1:55 PM,2024-04-21,offering,1 bed,any,,False,,back bay,move in offer,,900,900,6 months,6,,private,1.2,1,1BR in historic brownstone building,michael.chen@gmail.com,True,True,,high ceilings
4/21/24 3:10 PM,2024-04-21,offering,3 bed,male,veg,True,True,roxbury,early May,2025-05-27,535,535,12 months,12,False,shared,1.4,4,3BR apartment with balcony,+1 857 445 9023,True,True,,balcony access
4/21/24 4:20 PM,2024-04-21,looking,2bhk,female,,,,brighton,available now,,$750,750,9 months,9,True,shared,2.8,2,Looking for 2BHK near green line,divya.krishnan@northeastern.edu,True,True,True,near grocery stores
4/21/24 5:35 PM,2024-04-21,offering,shared,mixed,non-veg,,False,fenway,June 15,2025-06-15,500,500,flexible,,,shared,0.6,2,Shared room in Fenway apartment,rohit_617@gmail.com,True,True,,Fenway Park nearby
4/21/24 6:50 PM,2024-04-21,offering,4 bed,male,,True,,jamaica plain,May 1,2025-05-01,450,450,12 months,12,False,2 bathroom,2.6,5,Room in large 4BR house with yard,call 857-234-8890,True,True,,yard space
4/21/24 8:05 PM,2024-04-21,looking,studio,,veg,True,True,cambridge,mid June,2025-06-27,1100,1100,6 months,6,True,private,3.1,1,Studio apartment near MIT,pooja.venkat@gmail.com,True,True,,Bike storage
4/21/24 9:20 PM,2024-04-21,offering,private,female,vegetarian,,False,mission hill,ASAP,,710,710,flexible,,,private,0.8,1,Furnished private room available now,Text: 8573920847,True,True,,Quiet floor
4/21/24 10:30 PM,2024-04-21,offering,2 bed,mixed,,False,,roxbury,June 1,2025-06-01,575,575,12 months,12,False,shared,1.2,3,2BR apartment with updated kitchen,sanjay.mehta@yahoo.com,True,True,,new appliances
4/22/24 7:15 AM,2024-04-22,looking,3bhk,male,non-veg,True,False,brookline,May 20,2025-05-20,$850,850,9 months,9,True,2 bathroom,1.6,4,3BHK for group of friends,group.housing.2024@gmail.com,True,True,,looking together
4/22/24 8:40 AM,2024-04-22,offering,shared,female,veg,,True,allston,available now,,500,500,6 months,6,,shared,2.0,2,Female roommate wanted ASAP,kavya_allston@hotmail.com,True,True,,near bus
4/22/24 9:55 AM,2024-04-22,offering,1 bed,any,,,,fenway,early June,2025-06-27,900,900,12 months,12,False,private,0.5,1,Furnished 1BR in modern building,Contact: james.wilson@gmail.com,True,True,,Gym in building
4/22/24 11:10 AM,2024-04-22,looking,4 bed,mixed,no preference,True,False,back bay,June 15,2025-06-15,$1000,1000,flexible,,True,shared,1.1,4,Group looking for 4BR apartment,857-445-2341,True,True,,elevator building
4/22/24 12:25 PM,2024-04-22,offering,2bhk,male,,,,longwood,May 1,2025-05-01,600,600,9 months,9,,shared,0.4,2,2BHK near medical area,arjun.reddy@northeastern.edu,True,True,,hospital nearby
4/22/24 1:40 PM,2024-04-22,offering,private,female,veg,True,False,cambridge,ASAP,,850,850,12 months,12,True,private,3.0,1,Private room in Cambridge apartment,+1-617-883-4521,True,True,,near red line
4/22/24 2:50 PM,2024-04-22,looking,shared,,vegetarian,,True,mission hill,mid May,2025-05-27,450,450,6 months,6,,shared,0.7,2,Vegetarian shared accommodation,preeti.singh@gmail.com,True,True,,No alcohol
4/22/24 4:05 PM,2024-04-22,offering,3 bed,male,non-veg,False,,roxbury,June 1,2025-06-01,550,550,flexible,,False,shared,1.3,4,3BR apartment with large living room,8572239847,True,True,,storage available
4/22/24 5:20 PM,2024-04-22,offering,studio,female,,True,,brighton,May 20,2025-05-20,$950,950,12 months,12,True,private,2.7,1,Studio with kitchen and private bath,sarah.thomas@yahoo.com,True,True,,pets ok
4/22/24 6:35 PM,2024-04-22,looking,2 bed,mixed,veg,,False,fenway,available now,,650,650,9 months,9,,shared,0.6,2,2BR near Fenway for two friends,tanvi.agarwal@gmail.com,True,True,True,both graduate students
4/22/24 7:45 PM,2024-04-22,offering,4bhk,male,,True,True,jamaica plain,early June,2025-06-27,750,750,6 months,6,False,2 bathroom,2.5,5,4BHK house with backyard,Call/text 857-992-3401,True,True,,backyard included
4/22/24 9:00 PM,2024-04-22,offering,shared,any,non-veg,,,allston,June 15,2025-06-15,500,500,12 months,12,,shared,2.1,3,Shared room in party-friendly area,alex.martinez@gmail.com,True,True,,near bars
4/22/24 10:15 PM,2024-04-22,looking,private,female,,True,False,brookline,May 1,2025-05-01,$800,800,flexible,,True,private,1.7,1,Private room with own bathroom,priyanka_bkln@northeastern.edu,True,True,,Safe neighborhood
4/23/24 7:20 AM,2024-04-23,offering,1 bed,mixed,veg,,,back bay,ASAP,,1100,1100,9 months,9,True,private,1.0,1,Luxury 1BR in Back Bay,contact.backbay@gmail.com,True,True,,Doorman building
4/23/24 8:30 AM,2024-04-23,offering,3bhk,male,vegetarian,False,False,roxbury,mid June,2025-06-27,650,650,12 months,12,False,shared,1.4,4,3BHK vegetarian household,deepak.kumar@hotmail.com,True,True,,vegetarian cooking
4/23/24 9:45 AM,2024-04-23,looking,shared,female,,True,,mission hill,June 1,2025-06-01,460,460,6 months,6,,shared,0.8,2,Female student looking for roommate,meghana.reddy@gmail.com,True,True,,Clean environment
4/23/24 11:00 AM,2024-04-23,offering,2 bed,,non-veg,,True,fenway,May 15,2025-05-15,$575,575,flexible,,,shared,0.5,2,2BR furnished apartment available,8573348821,True,True,,near ballpark
4/23/24 12:15 PM,2024-04-23,offering,private,male,veg,True,False,cambridge,available now,,850,850,12 months,12,True,private,3.2,1,Private room near Harvard,vikas.sharma@gmail.com,True,True,True,Quiet study environment
4/23/24 1:30 PM,2024-04-23,looking,4 bed,mixed,,False,,brighton,early May,2025-05-27,550,550,9 months,9,False,shared,2.8,4,4BR for undergraduate students,student.group.housing@yahoo.com,True,True,,near T station
4/23/24 2:40 PM,2024-04-23,offering,studio,female,vegetarian,,,longwood,June 15,2025-06-15,1000,1000,6 months,6,True,private,0.3,1,Studio in medical area,dr.patel.rental@gmail.com,True,True,,Medical students preferred
4/23/24 3:55 PM,2024-04-23,offering,shared,any,,,False,allston,May 20,2025-05-20,500,500,12 months,12,,shared,2.0,2,Room in shared apartment,jay.patel23@gmail.com,True,True,,WiFi included
4/23/24 5:10 PM,2024-04-23,looking,2bhk,male,non-veg,True,,roxbury,ASAP,,$650,650,flexible,,,shared,1.2,2,2BHK needed immediately,urgent.housing.ne@gmail.com,True,True,True,Flexible lease
4/23/24 6:25 PM,2024-04-23,offering,3 bed,female,veg,,True,jamaica plain,mid May,2025-05-27,710,710,9 months,9,False,2 bathroom,2.6,3,3BR female household,girls.housing.jp@gmail.com,True,True,,Female only house
4/23/24 7:35 PM,2024-04-23,offering,private,,no preference,False,,mission hill,June 1,2025-06-01,750,750,12 months,12,True,private,0.7,1,Private room in modern building,Text 857-223-9045,True,True,True,24hr security
4/23/24 8:50 PM,2024-04-23,looking,1 bed,mixed,,True,False,fenway,May 1,2025-05-01,$900,900,6 months,6,True,private,0.6,1,1BR near Fenway Park,baseball.fan.housing@gmail.com,True,True,,Love sports
4/24/24 7:10 AM,2024-04-24,offering,4bhk,male,veg,,,back bay,available now,,1200,1200,flexible,,,2 bathroom,1.1,5,Luxury 4BHK in prime location,luxury.rentals.boston@gmail.com,True,True,,concierge service
4/24/24 8:25 AM,2024-04-24,offering,shared,female,,,True,brookline,June 15,2025-06-15,550,550,12 months,12,,shared,1.8,2,Shared room near Coolidge Corner,natasha.brookline@yahoo.com,True,True,,near shops
4/24/24 9:40 AM,2024-04-24,looking,2 bed,,vegetarian,True,False,cambridge,early June,2025-06-27,800,800,9 months,9,True,shared,3.0,2,2BR vegetarian household wanted,veg.housing.search@gmail.com,True,True,True,Vegetarian only
4/24/24 10:50 AM,2024-04-24,offering,3bhk,mixed,non-veg,False,,roxbury,May 20,2025-05-20,$575,575,6 months,6,False,shared,1.3,4,3BHK apartment near orange line,transit.housing@hotmail.com,True,True,,T accessible
4/24/24 12:05 PM,2024-04-24,offering,private,male,,,,allston,ASAP,,650,650,12 months,12,True,private,2.1,1,Furnished private room available now,(857)334-2190,True,True,,near BU
4/24/24 1:20 PM,2024-04-24,looking,studio,female,veg,True,False,mission hill,mid June,2025-06-27,950,950,flexible,,,private,0.8,1,Clean studio for female student,simran.mission.hill@gmail.com,True,True,,Safe area important
4/24/24 2:35 PM,2024-04-24,offering,shared,any,non-veg,,,fenway,June 1,2025-06-01,500,500,9 months,9,,shared,0.5,3,Shared accommodation near stadium,fenway.student.housing@gmail.com,True,True,,game day noise
4/24/24 3:45 PM,2024-04-24,offering,4 bed,male,,True,True,brighton,May 15,2025-05-15,450,450,12 months,12,False,shared,2.7,5,Large 4BR house with parking,big.house.brighton@yahoo.com,True,True,,driveway parking
4/24/24 5:00 PM,2024-04-24,looking,2bhk,female,vegetarian,,,jamaica plain,available now,,$750,750,6 months,6,True,shared,2.5,2,2BHK for two female professionals,professional.housing.jp@gmail.com,True,True,,Working professionals
4/24/24 6:15 PM,2024-04-24,offering,1 bed,mixed,,False,False,longwood,early May,2025-05-27,900,900,flexible,,,private,0.4,1,1BR near medical campus,medical.area.rentals@gmail.com,True,True,,Medical students
4/24/24 7:30 PM,2024-04-24,offering,private,male,veg,True,,roxbury,June 15,2025-06-15,710,710,12 months,12,False,private,1.4,1,Private room with attached bath,exclusive.room.rox@gmail.com,True,True,True,Private entrance
4/24/24 8:40 PM,2024-04-24,looking,3 bed,,non-veg,,True,back bay,May 1,2025-05-01,$1000,1000,9 months,9,True,shared,1.0,3,3BR luxury apartment wanted,857-445-8823,True,True,,Luxury amenities
4/24/24 9:55 PM,2024-04-24,offering,shared,female,veg,,,cambridge,ASAP,,500,500,6 months,6,,shared,3.1,2,Female vegetarian roommate wanted,veg.cambridge.housing@gmail.com,True,True,,No meat cooking
4/25/24 7:25 AM,2024-04-25,offering,studio,,no preference,True,False,mission hill,mid May,2025-05-27,1050,1050,12 months,12,True,private,0.7,1,Modern studio with city views,city.view.studios@gmail.com,True,True,,Rooftop access
4/25/24 8:35 AM,2024-04-25,looking,2 bed,mixed,,,,fenway,June 1,2025-06-01,600,600,flexible,,,shared,0.6,2,2BR for couple near Fenway,couples.housing.fenway@yahoo.com,True,True,True,Pet friendly
4/25/24 9:50 AM,2024-04-25,offering,4bhk,male,veg,False,True,brookline,May 20,2025-05-20,$850,850,9 months,9,False,2 bathroom,1.7,5,4BHK vegetarian house,veg.house.brookline@gmail.com,True,True,,Vegetarian household
4/25/24 11:05 AM,2024-04-25,offering,private,female,vegetarian,True,,allston,available now,,750,750,12 months,12,True,private,2.0,1,Private room for female student,female.private.allston@gmail.com,True,True,,Safe and quiet
4/25/24 12:20 PM,2024-04-25,looking,shared,any,,,False,roxbury,early June,2025-06-27,450,450,6 months,6,,shared,1.2,2,Affordable shared room needed,budget.housing.search@gmail.com,True,True,,Budget friendly
4/25/24 1:30 PM,2024-04-25,offering,3bhk,male,non-veg,,,jamaica plain,June 15,2025-06-15,710,710,flexible,,,shared,2.6,4,3BHK with outdoor space,outdoor.space.jp@hotmail.com,True,True,,patio access
4/25/24 2:45 PM,2024-04-25,offering,1 bed,female,veg,False,False,brighton,May 1,2025-05-01,900,900,12 months,12,True,private,2.8,1,1BR in Brighton Center,brighton.center.apt@gmail.com,True,True,True,Near green line
