timestamp,requirement,accom_type,gender,food_pref,furnished,red_eye,area,move_in_date,rent_amount,lease_duration,utilities_included,bathroom_type,distance_to_campus,people_count,description_summary,contact,heat_available,water_available,laundry_available,other_details
4/20/24 8:15 AM,offering,shared,female,veg,yes,no,Roxbury,May 15,550,12 months,no,shared,1.2 miles,2,Cozy room in quiet apartment near T station,meera.shah@gmail.com,yes,included,in building,Pet friendly
4/20/24 9:23 AM,looking,2 bed,mixed,,furnished,yes,Fenway,June 1,$850,flexible,yes,private,0.5 miles,3,Need spacious place close to campus,+1 857-234-5678,,yes,yes,Parking spot included
4/20/24 10:45 AM,offering,private,male,non-veg,yes,,Mission Hill,available now,710,6 months,included,shared,0.8 miles,1,Private room with large windows and desk space,raj.patel@northeastern.edu,Yes,included,In-unit,near bus stop
4/20/24 11:30 AM,offering,3 bed,,vegetarian,no,no,Brookline,May 20,650,,,1.5 miles,4,Spacious 3BR looking for one more roommate,8573829471,yes,yes,building,close to restaurants
4/20/24 1:15 PM,looking,studio,female,,,yes,Cambridge,ASAP,1000,12 months,yes,private,3.2 miles,,Clean studio with natural light preferred,ananya.desai@gmail.com,required,included,must have,Quiet building
4/20/24 2:40 PM,offering,4 bed,male,non-veg,furnished,,Roxbury,June 15,450,9 months,no,shared,1.1 miles,5,Room available in 4BR student house,+19174562890,yes,Yes,shared facility,24/7 security
4/20/24 3:55 PM,offering,shared,female,veg,yes,no,Allston,move in: may 1,500,,partial,shared,2.0 miles,2,Shared room with another female student,priya_boston@yahoo.com,included,included,in bldg,WiFi included
4/20/24 5:20 PM,looking,1 bed,any,no preference,yes,,Back Bay,mid May,$1200,12 months,yes,private,1.0 miles,1,Looking for modern 1BR in luxury building,contact: 857-392-4756,yes,yes,In unit,Gym access
4/20/24 6:10 PM,offering,2bhk,mixed,,partially,yes,Fenway,early June,575,6 months,,shared,0.6 miles,3,2 bedroom apartment near Fenway Park,vishnu.iyer@gmail.com,yes,included,coin laundry,near T station
4/20/24 7:45 PM,offering,private,male,non-veg,yes,no,Longwood,available now,710,flexible,no,private,0.3 miles,1,Private room in medical area perfect for students,(857) 445-3421,Yes,yes,available,Close to hospitals
4/20/24 8:30 PM,looking,shared,female,veg,furnished,,Brookline,,550,12 months,included,shared,1.8 miles,2,Vegetarian household preferred,neha_2024@northeastern.edu,needed,included,yes,No smoking
4/20/24 9:15 PM,offering,3bhk,male,,yes,no,Jamaica Plain,June 1,750,12 months,no,2 bathroom,2.5 miles,4,Large 3BHK with parking space available,857.392.8472,yes,included,In building,hardwood floors
4/21/24 7:30 AM,offering,4 bed,,non-veg,no,,Roxbury,May 20,400,,,1.3 miles,5,Affordable room in student friendly area,karthik_boston@hotmail.com,yes,yes,,near orange line
4/21/24 8:45 AM,looking,studio,female,veg,yes,yes,Cambridge,flexible,950,6 months,yes,private,3.0 miles,,Studio near Harvard Square,+1-617-234-9087,required,yes,required,Prefer quiet
4/21/24 10:10 AM,offering,shared,mixed,,,no,Mission Hill,ASAP,460,9 months,partial,shared,0.7 miles,3,Shared room available immediately,aditya.sharma23@gmail.com,included,Included,shared,utilities split
4/21/24 11:25 AM,offering,2 bed,female,vegetarian,furnished,,Fenway,May 15,$570,12 months,no,shared,0.5 miles,2,Furnished 2BR perfect for grad students,contact me: sneha.rao@yahoo.com,yes,yes,in-building,Female only
4/21/24 12:40 PM,looking,private,male,non-veg,yes,no,Allston,June 1,650,flexible,yes,private,2.1 miles,1,Private room with private bath,8573345667,yes,included,prefer in unit,Parking needed
4/21/24 1:55 PM,offering,1 bed,any,,no,,Back Bay,move in offer,900,6 months,,private,1.2 miles,1,1BR in historic brownstone building,michael.chen@gmail.com,Yes,included,building,high ceilings
4/21/24 3:10 PM,offering,3 bed,male,veg,yes,yes,Roxbury,early May,535,12 months,no,shared,1.4 miles,4,3BR apartment with balcony,+1 857 445 9023,yes,yes,shared,balcony access
4/21/24 4:20 PM,looking,2bhk,female,,furnished,,Brighton,available now,$750,9 months,included,shared,2.8 miles,2-3,Looking for 2BHK near green line,divya.krishnan@northeastern.edu,yes,included,yes,near grocery stores
4/21/24 5:35 PM,offering,shared,mixed,non-veg,partially,no,Fenway,June 15,500,flexible,partial,shared,0.6 miles,2,Shared room in Fenway apartment,rohit_617@gmail.com,included,yes,coin op,Fenway Park nearby
4/21/24 6:50 PM,offering,4 bed,male,,yes,,Jamaica Plain,May 1,450,12 months,no,2 bathroom,2.6 miles,5,Room in large 4BR house with yard,call 857-234-8890,yes,included,basement,yard space
4/21/24 8:05 PM,looking,studio,,veg,yes,yes,Cambridge,mid June,1100,6 months,yes,private,3.1 miles,1,Studio apartment near MIT,pooja.venkat@gmail.com,needed,needed,in unit preferred,Bike storage
4/21/24 9:20 PM,offering,private,female,vegetarian,furnished,no,Mission Hill,ASAP,710,flexible,,private,0.8 miles,1,Furnished private room available now,Text: 8573920847,yes,included,available,Quiet floor
4/21/24 10:30 PM,offering,2 bed,mixed,,no,,Roxbury,June 1,575,12 months,no,shared,1.2 miles,3,2BR apartment with updated kitchen,sanjay.mehta@yahoo.com,Yes,yes,building laundry,new appliances
4/22/24 7:15 AM,looking,3bhk,male,non-veg,yes,no,Brookline,May 20,$850,9 months,included,2 bathroom,1.6 miles,4,3BHK for group of friends,group.housing.2024@gmail.com,yes,yes,in unit,looking together
4/22/24 8:40 AM,offering,shared,female,veg,,yes,Allston,available now,500,6 months,partial,shared,2.0 miles,2,Female roommate wanted ASAP,kavya_allston@hotmail.com,included,included,shared facility,near bus
4/22/24 9:55 AM,offering,1 bed,any,,furnished,,Fenway,early June,900,12 months,no,private,0.5 miles,1,Furnished 1BR in modern building,Contact: james.wilson@gmail.com,yes,included,in-unit,Gym in building
4/22/24 11:10 AM,looking,4 bed,mixed,no preference,yes,no,Back Bay,June 15,$1000,flexible,yes,shared,1.1 miles,4-5,Group looking for 4BR apartment,857-445-2341,required,required,must have,elevator building
4/22/24 12:25 PM,offering,2bhk,male,,partially,,Longwood,May 1,600,9 months,,shared,0.4 miles,2,2BHK near medical area,arjun.reddy@northeastern.edu,yes,Yes,coin laundry,hospital nearby
4/22/24 1:40 PM,offering,private,female,veg,yes,no,Cambridge,ASAP,850,12 months,included,private,3.0 miles,1,Private room in Cambridge apartment,+1-617-883-4521,included,included,in building,near red line
4/22/24 2:50 PM,looking,shared,,vegetarian,furnished,yes,Mission Hill,mid May,450,6 months,partial,shared,0.7 miles,2,Vegetarian shared accommodation,preeti.singh@gmail.com,yes,included,,No alcohol
4/22/24 4:05 PM,offering,3 bed,male,non-veg,no,,Roxbury,June 1,550,flexible,no,shared,1.3 miles,4,3BR apartment with large living room,8572239847,yes,yes,basement,storage available
4/22/24 5:20 PM,offering,studio,female,,yes,,Brighton,May 20,$950,12 months,yes,private,2.7 miles,1,Studio with kitchen and private bath,sarah.thomas@yahoo.com,Yes,included,in unit,pets ok
4/22/24 6:35 PM,looking,2 bed,mixed,veg,furnished,no,Fenway,available now,650,9 months,,shared,0.6 miles,2,2BR near Fenway for two friends,tanvi.agarwal@gmail.com,yes,yes,yes,both graduate students
4/22/24 7:45 PM,offering,4bhk,male,,yes,yes,Jamaica Plain,early June,750,6 months,no,2 bathroom,2.5 miles,5,4BHK house with backyard,Call/text 857-992-3401,yes,included,in unit,backyard included
4/22/24 9:00 PM,offering,shared,any,non-veg,partially,,Allston,June 15,500,12 months,partial,shared,2.1 miles,3,Shared room in party-friendly area,alex.martinez@gmail.com,included,yes,shared,near bars
4/22/24 10:15 PM,looking,private,female,,yes,no,Brookline,May 1,$800,flexible,included,private,1.7 miles,1,Private room with own bathroom,priyanka_bkln@northeastern.edu,needed,needed,prefer in unit,Safe neighborhood
4/23/24 7:20 AM,offering,1 bed,mixed,veg,furnished,,Back Bay,ASAP,1100,9 months,yes,private,1.0 miles,1,Luxury 1BR in Back Bay,contact.backbay@gmail.com,yes,included,In-unit,Doorman building
4/23/24 8:30 AM,offering,3bhk,male,vegetarian,no,no,Roxbury,mid June,650,12 months,no,shared,1.4 miles,4,3BHK vegetarian household,deepak.kumar@hotmail.com,yes,yes,building,vegetarian cooking
4/23/24 9:45 AM,looking,shared,female,,yes,,Mission Hill,June 1,460,6 months,partial,shared,0.8 miles,2,Female student looking for roommate,meghana.reddy@gmail.com,yes,included,available,Clean environment
4/23/24 11:00 AM,offering,2 bed,,non-veg,furnished,yes,Fenway,May 15,$575,flexible,,shared,0.5 miles,2,2BR furnished apartment available,8573348821,Yes,yes,in building,near ballpark
4/23/24 12:15 PM,offering,private,male,veg,yes,no,Cambridge,available now,850,12 months,included,private,3.2 miles,1,Private room near Harvard,vikas.sharma@gmail.com,included,included,yes,Quiet study environment
4/23/24 1:30 PM,looking,4 bed,mixed,,no,,Brighton,early May,550,9 months,no,shared,2.8 miles,4,4BR for undergraduate students,student.group.housing@yahoo.com,yes,yes,prefer yes,near T station
4/23/24 2:40 PM,offering,studio,female,vegetarian,furnished,,Longwood,June 15,1000,6 months,yes,private,0.3 miles,1,Studio in medical area,dr.patel.rental@gmail.com,yes,Included,in-unit,Medical students preferred
4/23/24 3:55 PM,offering,shared,any,,partially,no,Allston,May 20,500,12 months,partial,shared,2.0 miles,2,Room in shared apartment,jay.patel23@gmail.com,included,included,coin-op,WiFi included
